Date,RON91,Diesel
2023-01-03,77.11 ,78.05 
2023-01-10,76.36 ,75.25 
2023-01-17,77.31 ,75.75 
2023-01-24,80.11 ,78.00 
2023-01-31,78.41 ,74.89 
2023-02-07,76.31 ,71.89 
2023-02-14,76.31 ,69.69 
2023-02-21,77.21 ,70.74 
2023-02-28,76.51 ,69.44 
2023-03-07,76.91 ,70.94 
2023-03-14,77.91 ,70.84 
2023-03-21,76.71 ,68.99 
2023-03-28,75.86 ,67.69 
2023-04-04,77.26 ,68.19 
2023-04-11,79.86 ,69.89 
2023-04-18,68.90 ,62.30 
2023-04-24,67.50 ,61.60 
2023-05-02,66.00 ,60.30 
2023-05-09,63.80 ,57.60 
2023-05-16,64.15 ,59.00 
2023-05-23,64.95 ,59.60 
2023-06-27,66.50 ,61.65 
2023-07-25,68.85 ,64.25 
2023-08-29,69.90 ,70.05 
2023-09-26,72.40 ,73.95 
2023-10-24,68.85 ,72.25 
2023-11-28,66.59 ,62.20 
2023-12-05,66.89 ,61.90 
