Date,RON91,Diesel
2023-01-05,68.60 ,70.95 
2023-01-12,65.95 ,67.10 
2023-01-20,66.90 ,67.60 
2023-01-26,68.75 ,67.45 
2023-02-03,70.05 ,67.65 
2023-02-10,67.95 ,64.65 
2023-02-17,67.95 ,62.45 
2023-02-23,68.85 ,63.50 
2023-03-02,67.85 ,63.05 
2023-03-10,68.55 ,63.70 
2023-03-17,69.55 ,67.95 
2023-03-24,63.50 ,61.75 
2023-03-31,67.10 ,60.34 
2023-04-09,67.05 ,60.84 
2023-04-13,68.94 ,62.54 
2023-04-20,69.24 ,61.85 
2023-04-27,67.84 ,61.15 
2023-05-06,66.35 ,59.85 
2023-05-12,64.14 ,56.89 
2023-05-19,64.49 ,58.29 
2023-05-25,64.29 ,57.64 
2023-06-08,64.09 ,57.34 
2023-06-29,65.14 ,57.44 
2023-07-07,64.44 ,56.74 
2023-07-28,67.00 ,60.04 
2023-08-03,69.10 ,63.54 
2023-08-31,69.80 ,69.94 
2023-09-07,70.30 ,71.14 
2023-09-28,71.65 ,71.90 
2023-10-05,68.50 ,72.30 
2023-10-26,66.95 ,68.10 
2023-11-03,67.40 ,66.85 
2023-11-30,65.50 ,61.15 
2023-12-07,65.80 ,60.85 
2023-12-28,65.80 ,60.80 
